Resumen General - Elecciones Generales 2021

"ACTUALIZADO EL 31/05/2021 A LAS 16:29 h"
""
"PRESIDENTE Y VICEPRESIDENTE"
"TOTAL DE ACTAS","ACTAS CONTABILIZADAS","ACTAS CONTABILIZADAS(%)","ACTAS PROCESADAS","ACTAS PROCESADAS(%)","ACTAS PARA ENVIO AL JEE/JNE","ACTAS PARA ENVIO AL JEE/JNE (%)"
"86,488","86,488","100.000","86,488","100.000","0","0.000"
"CONGRESAL"
"TOTAL DE ACTAS","ACTAS CONTABILIZADAS","ACTAS CONTABILIZADAS(%)","ACTAS PROCESADAS","ACTAS PROCESADAS(%)","ACTAS PARA ENVIO AL JEE/JNE","ACTAS PARA ENVIO AL JEE/JNE (%)"
"86,488","86,488","100.000","86,488","100.000","0","0.000"
"PARLAMENTO ANDINO"
"TOTAL DE ACTAS","ACTAS CONTABILIZADAS","ACTAS CONTABILIZADAS(%)","ACTAS PROCESADAS","ACTAS PROCESADAS(%)","ACTAS PARA ENVIO AL JEE/JNE","ACTAS PARA ENVIO AL JEE/JNE (%)"
"86,488","86,488","100.000","86,488","100.000","0","0.000"
