Resultados Elecciones Generales Presidenciales 2021 - 

""
""
""
"Electores hábiles","Participación ciudadana","(%)Participación Ciudadana"
"25,287,954","17,713,716","70.048"
""
""
" ","Organización Política","Porcentaje Válidos"
"PARTIDO NACIONALISTA PERUANO","230,831","1.603"
"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD","65,300","0.453"
"PARTIDO MORADO","325,608","2.261"
"PERU PATRIA SEGURA","55,644","0.386"
"VICTORIA NACIONAL","814,516","5.656"
"ACCION POPULAR","1,306,288","9.071"
"AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL","1,674,201","11.626"
"PODEMOS PERU","812,721","5.644"
"JUNTOS POR EL PERU","1,132,577","7.865"
"PARTIDO POPULAR CRISTIANO - PPC","286,447","1.989"
"FUERZA POPULAR","1,930,762","13.407"
"UNION POR EL PERU","101,267","0.703"
"RENOVACION POPULAR","1,692,279","11.751"
"RENACIMIENTO UNIDO NACIONAL","89,376","0.621"
"PARTIDO DEMOCRATICO SOMOS PERU","240,234","1.668"
"PARTIDO POLITICO NACIONAL PERU LIBRE","2,724,752","18.921"
"DEMOCRACIA DIRECTA","50,802","0.353"
"ALIANZA PARA EL PROGRESO","867,025","6.021"
"TOTAL DE VOTOS VÁLIDOS","14,400,630","100.000"
"VOTOS EN BLANCO","2,190,059",""
"VOTOS NULOS","1,123,027",""
"TOTAL DE VOTOS EMITIDOS","17,713,716",""
""
""
"Actas","Actas Procesadas 100.000%","Actas Enviadas al JNE"
"86,488","86,488","0"
""
""
"MESAS A INSTALAR"
"MESAS INSTALADAS(N)","MESAS NO INSTALADAS(O)","MESAS POR INFORMAR(P)"
"85,989","499","0"
""
""
"ACTAS A RESOLVER POR EL AL JNE"
"Con Votos Impugnados","Con Error Material","Con Ilegibilidad","Incompleta","Con Solicitud de Nulidad","Acta sin datos","Acta Extraviada","Acta Siniestrada","Acta sin Firmas","Con más de un tipo de Observación"
"0","0","0","0","0","0","0","0","0","0"
""
""
"ANULADAS POR RESOLUCIÓN"
"CONTALIZABILIZADAS ANULADAS(L)","ACTAS DE MESAS NO INSTALADAS(M)"
"975","499"
""
""
"ACTAS POR PROCESAR(0.000)%"
"0"
""
""
